Date,1. open,2. high,3. low,4. close,5. volume
2025-09-19,1217.35,1220.6,1161.1,1177.65,11116.0
2025-09-18,1202.7,1235.5,1202.7,1217.4,2927.0
2025-09-17,1223.0,1225.0,1195.0,1217.05,8410.0
2025-09-16,1255.95,1255.95,1217.7,1222.9,3132.0
2025-09-15,1210.0,1266.45,1209.1,1243.25,10204.0
2025-09-12,1229.9,1229.9,1199.7,1209.45,1896.0
2025-09-11,1192.7,1219.35,1192.7,1207.65,1766.0
2025-09-10,1202.7,1228.0,1201.5,1206.5,3974.0
2025-09-09,1207.0,1223.3,1193.35,1214.8,5349.0
2025-09-08,1226.05,1226.05,1190.4,1207.0,1751.0
2025-09-05,1195.7,1205.0,1183.35,1198.2,2246.0
2025-09-04,1216.55,1218.9,1183.5,1195.95,2893.0
2025-09-03,1194.95,1206.65,1187.55,1200.6,3258.0
2025-09-02,1226.95,1226.95,1190.5,1198.75,5859.0
2025-09-01,1226.8,1231.45,1210.0,1224.65,2310.0
2025-08-29,1247.1,1254.0,1223.95,1228.25,2990.0
2025-08-28,1298.15,1298.15,1248.85,1250.6,2880.0
2025-08-27,1269.7,1269.7,1269.7,1269.7,0.0
2025-08-26,1299.35,1299.35,1267.95,1269.7,1348.0
2025-08-25,1278.85,1293.7,1278.85,1284.25,4109.0
2025-08-22,1281.5,1305.0,1281.5,1287.95,4759.0
2025-08-21,1264.45,1297.75,1264.45,1285.0,3631.0
2025-08-20,1287.0,1325.0,1280.0,1287.6,19357.0
2025-08-19,1277.6,1297.0,1262.45,1287.0,11844.0
2025-08-18,1199.95,1280.0,1193.25,1271.4,52737.0
2025-08-14,1168.95,1195.5,1151.45,1182.45,12275.0
2025-08-13,1100.35,1218.35,1098.55,1175.25,60175.0
2025-08-12,1095.0,1106.6,1092.0,1096.1,1959.0
2025-08-11,1099.0,1110.55,1079.0,1093.25,1948.0
2025-08-08,1095.55,1110.0,1095.55,1099.9,3417.0
2025-08-07,1133.7,1141.45,1095.6,1110.25,3021.0
2025-08-06,1149.95,1149.95,1131.95,1137.15,1199.0
2025-08-05,1139.95,1142.6,1119.35,1136.7,2491.0
2025-08-04,1114.0,1123.9,1110.8,1119.5,3612.0
2025-08-01,1146.3,1146.4,1108.85,1124.35,1854.0
2025-07-31,1101.85,1152.9,1101.85,1146.3,5295.0
2025-07-30,1120.0,1140.95,1110.85,1137.85,3177.0
2025-07-29,1120.0,1128.05,1091.0,1117.7,6988.0
2025-07-28,1116.2,1147.9,1116.2,1134.4,9080.0
2025-07-25,1127.0,1139.55,1116.5,1134.8,7197.0
2025-07-24,1151.05,1151.05,1126.45,1132.35,2955.0
2025-07-23,1140.05,1147.3,1118.75,1128.45,2879.0
2025-07-22,1130.05,1169.6,1124.3,1144.25,4246.0
2025-07-21,1156.4,1160.0,1129.7,1135.25,8980.0
2025-07-18,1143.0,1158.0,1130.65,1155.1,2729.0
2025-07-17,1136.05,1160.15,1132.0,1146.3,16426.0
2025-07-16,1125.0,1183.0,1125.0,1146.05,58976.0
2025-07-15,1090.15,1125.55,1090.15,1121.85,9773.0
2025-07-14,1098.5,1110.0,1082.95,1096.85,8098.0
2025-07-11,1130.05,1130.2,1091.5,1098.3,10543.0
2025-07-10,1150.0,1150.05,1130.0,1134.35,5134.0
2025-07-09,1155.0,1168.25,1144.0,1146.4,8208.0
2025-07-08,1174.95,1174.95,1148.6,1153.5,3470.0
2025-07-07,1160.0,1175.4,1145.95,1165.5,12506.0
2025-07-04,1165.2,1234.05,1151.65,1167.2,54982.0
2025-07-03,1152.35,1163.95,1125.0,1159.15,12688.0
2025-07-02,1200.0,1217.1,1148.2,1157.1,27686.0
2025-07-01,1254.95,1257.9,1201.25,1207.65,10385.0
2025-06-30,1249.65,1273.25,1238.95,1247.2,6189.0
